id;id_regional;id_comuna;region;comuna;costo_bajo_gn;costo_alto_gn;costo_bajo_glp;costo_alto_glp;costo_bajo_ele;costo_alto_ele;costo_bajo_ker;costo_alto_ker;costo_bajo_len;costo_alto_len;costo_bajo_pel;costo_alto_pel
44;;3303;De Atacama;Freirina;;;180.9741248;180.9741248;;;74.25641026;76.92307692;;;;
45;;3304;De Atacama;Huasco;;;180.9741248;180.9741248;;;74.25641026;76.92307692;;;;
46;;4101;De Coquimbo;La Serena;;;165.9056317;165.9056317;;;74.05128205;74.76923077;;;;
47;;4102;De Coquimbo;Coquimbo;;;165.9056317;165.9056317;;;74.15384615;74.35897436;;;;
48;;4103;De Coquimbo;Andacollo;;;165.9056317;165.9056317;;;74.76923077;74.76923077;;;;
49;;4104;De Coquimbo;La Higuera;;;165.9056317;165.9056317;;;73.23076923;74.76923077;;;;
50;;4105;De Coquimbo;Paiguano;;;181.8873668;181.8873668;;;73.23076923;74.76923077;;;;
51;;4106;De Coquimbo;Vicuña;;;165.9056317;165.9056317;;;74.25641026;74.25641026;;;;
52;;4201;De Coquimbo;Illapel;;;184.1704718;184.1704718;;;73.23076923;73.23076923;;;;
53;;4202;De Coquimbo;Canela;;;165.9056317;165.9056317;;;73.23076923;74.76923077;;;;
54;;4203;De Coquimbo;Los Vilos;;;187.9756469;187.9756469;;;73.23076923;73.23076923;;;;
55;;4204;De Coquimbo;Salamanca;;;163.6225266;163.6225266;;;73.33333333;73.33333333;;;;
56;;4301;De Coquimbo;Ovalle;;;165.9056317;165.9056317;;;72.92307692;73.12820513;;;;
57;;4302;De Coquimbo;Combarbalá;;;139.2694064;163.6225266;;;73.84615385;73.84615385;;;;
58;;4303;De Coquimbo;Monte Patria;;;165.9056317;165.9056317;;;92.30769231;92.30769231;;;;
59;;4304;De Coquimbo;Punitaqui;;;165.9056317;165.9056317;;;73.23076923;74.76923077;;;;
60;;4305;De Coquimbo;Río Hurtado;;;165.9056317;165.9056317;;;73.23076923;74.76923077;;;;
61;;5101;De Valparaíso;Valparaíso;119.2229039;132.9773144;125.9167013;225.2663623;;;70.66666667;76.1025641;;;;
62;;5102;De Valparaíso;Casablanca;119.2229039;132.9773144;189.4977169;189.4977169;;;73.33333333;73.33333333;;;;
63;;5103;De Valparaíso;Concón;119.2229039;132.9773144;180.3652968;180.3652968;;;66.15384615;73.64102564;;;;
64;;5104;De Valparaíso;Juan Fernández;119.2229039;132.9773144;229.8325723;229.8325723;;;67.79487179;76.1025641;;;;
65;;5105;De Valparaíso;Puchuncaví;119.2229039;132.9773144;181.8873668;181.8873668;;;71.8974359;72.30769231;;;;
66;;5801;De Valparaíso;Quilpué;119.2229039;132.9773144;110.6960011;222.2222222;;;69.12820513;72.30769231;;;;
67;;5107;De Valparaíso;Quintero;119.2229039;132.9773144;181.8873668;181.8873668;;;73.53846154;73.53846154;;;;
68;;5804;De Valparaíso;Villa Alemana;119.2229039;132.9773144;175.7990868;175.7990868;;;71.58974359;72.30769231;;;;
69;;5109;De Valparaíso;Viña del Mar;119.2229039;132.9773144;180.3652968;180.3652968;;;71.07692308;73.53846154;;;;
70;;5201;De Valparaíso;Isla  de Pascua;119.2229039;132.9773144;229.8325723;229.8325723;;;67.79487179;76.1025641;;;;
71;;5301;De Valparaíso;Los Andes;119.2229039;132.9773144;192.5418569;192.5418569;;;73.43589744;73.74358974;;;;
72;;5302;De Valparaíso;Calle Larga;119.2229039;132.9773144;192.5418569;192.5418569;;;73.53846154;73.53846154;;;;
73;;5303;De Valparaíso;Rinconada;119.2229039;132.9773144;192.5418569;192.5418569;;;73.53846154;73.53846154;;;;
74;;5304;De Valparaíso;San Esteban;119.2229039;132.9773144;192.5418569;192.5418569;;;71.58974359;71.58974359;;;;
75;;5401;De Valparaíso;La Ligua;119.2229039;132.9773144;195.585997;195.585997;;;72.30769231;72.30769231;;;;
76;;5402;De Valparaíso;Cabildo;119.2229039;132.9773144;195.585997;195.585997;;;72.51282051;72.51282051;;;;
77;;5403;De Valparaíso;Papudo;119.2229039;132.9773144;158.2952816;190.2587519;;;73.53846154;73.53846154;;;;
78;;5404;De Valparaíso;Petorca;119.2229039;132.9773144;195.585997;195.585997;;;71.79487179;71.79487179;;;;
79;;5405;De Valparaíso;Zapallar;119.2229039;132.9773144;181.8873668;181.8873668;;;73.02564103;73.02564103;;;;
80;;5501;De Valparaíso;Quillota;119.2229039;132.9773144;191.0197869;191.0197869;;;71.69230769;72.51282051;;;;
81;;5502;De Valparaíso;Calera;119.2229039;132.9773144;191.0197869;191.0197869;;;70.25641026;71.69230769;;;;
82;;5503;De Valparaíso;Hijuelas;119.2229039;132.9773144;191.0197869;191.0197869;;;67.79487179;76.1025641;;;;
83;;5504;De Valparaíso;La Cruz;119.2229039;132.9773144;191.0197869;191.0197869;;;71.69230769;71.69230769;;;;
84;;5802;De Valparaíso;Limache;119.2229039;132.9773144;181.8873668;181.8873668;;;71.28205128;72.82051282;;;;
85;;5506;De Valparaíso;Nogales;119.2229039;132.9773144;191.0197869;191.0197869;;;72.92307692;72.92307692;;;;
86;;5803;De Valparaíso;Olmué;119.2229039;132.9773144;94.43752594;226.7884323;;;71.8974359;72.30769231;;;;
87;;5601;De Valparaíso;San Antonio;119.2229039;132.9773144;167.4277017;188.7366819;;;72.92307692;72.92307692;;;;
88;;5602;De Valparaíso;Algarrobo;119.2229039;132.9773144;188.7366819;188.7366819;;;72.92307692;72.92307692;;;;
89;;5603;De Valparaíso;Cartagena;119.2229039;132.9773144;188.7366819;188.7366819;;;72.92307692;72.92307692;;;;
90;;5604;De Valparaíso;El Quisco;119.2229039;132.9773144;188.7366819;188.7366819;;;72.92307692;72.92307692;;;;
91;;5605;De Valparaíso;El Tabo;119.2229039;132.9773144;188.7366819;188.7366819;;;67.79487179;76.1025641;;;;
92;;5606;De Valparaíso;Santo Domingo;119.2229039;132.9773144;188.7366819;188.7366819;;;72.92307692;72.92307692;;;;
93;;5701;De Valparaíso;San Felipe;119.2229039;132.9773144;192.5418569;192.5418569;;;71.8974359;71.8974359;;;;
94;;5702;De Valparaíso;Catemu;119.2229039;132.9773144;195.585997;195.585997;;;71.28205128;71.28205128;;;;
95;;5703;De Valparaíso;Llaillay;119.2229039;132.9773144;195.585997;195.585997;;;69.43589744;69.43589744;;;;
96;;5704;De Valparaíso;Panquehue;119.2229039;132.9773144;192.5418569;192.5418569;;;67.79487179;76.1025641;;;;
97;;5705;De Valparaíso;Putaendo;119.2229039;132.9773144;192.5418569;192.5418569;;;74.97435897;74.97435897;;;;
98;;5706;De Valparaíso;Santa María;119.2229039;132.9773144;192.5418569;192.5418569;;;73.02564103;73.02564103;;;;
99;;13101;Metropolitana de Santiago;Santiago;88.33915098;135.7544741;161.3394216;161.3394216;;;70.87179487;72.20512821;;;;
100;;13102;Metropolitana de Santiago;Cerrillos;88.33915098;135.7544741;161.3394216;161.3394216;;;69.23076923;71.38461538;;;;
101;;13103;Metropolitana de Santiago;Cerro Navia;88.33915098;135.7544741;161.3394216;161.3394216;;;71.79487179;72.1025641;;;;
102;;13104;Metropolitana de Santiago;Conchalí;88.33915098;135.7544741;161.3394216;161.3394216;;;71.69230769;72.20512821;;;;
103;;13105;Metropolitana de Santiago;El Bosque;88.33915098;135.7544741;161.3394216;161.3394216;;;71.48717949;72.20512821;;;;
104;;13106;Metropolitana de Santiago;Estación Central;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.1025641;;;;
105;;13107;Metropolitana de Santiago;Huechuraba;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.20512821;;;;
106;;13108;Metropolitana de Santiago;Independencia;88.33915098;135.7544741;161.3394216;161.3394216;;;69.23076923;72.20512821;;;;
107;;13109;Metropolitana de Santiago;La Cisterna;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.20512821;;;;
108;;13110;Metropolitana de Santiago;La Florida;88.33915098;135.7544741;161.3394216;161.3394216;;;71.79487179;71.79487179;;;;
109;;13111;Metropolitana de Santiago;La Granja;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.1025641;;;;
110;;13112;Metropolitana de Santiago;La Pintana;88.33915098;135.7544741;161.3394216;161.3394216;;;69.53846154;72.20512821;;;;
111;;13113;Metropolitana de Santiago;La Reina;88.33915098;135.7544741;164.3835616;164.3835616;;;72.1025641;72.30769231;;;;
112;;13114;Metropolitana de Santiago;Las Condes;88.33915098;135.7544741;164.3835616;164.3835616;;;71.79487179;76.41025641;;;;
113;;13115;Metropolitana de Santiago;Lo Barnechea;88.33915098;135.7544741;161.3394216;161.3394216;;;71.8974359;72.20512821;;;;
114;;13116;Metropolitana de Santiago;Lo Espejo;88.33915098;135.7544741;161.3394216;161.3394216;;;69.64102564;69.64102564;;;;
115;;13117;Metropolitana de Santiago;Lo Prado;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.1025641;;;;
116;;13118;Metropolitana de Santiago;Macul;88.33915098;135.7544741;136.2252664;161.3394216;;;72.1025641;72.30769231;;;;
117;;13119;Metropolitana de Santiago;Maipú;88.33915098;135.7544741;161.3394216;161.3394216;;;69.43589744;72.92307692;;;;
118;;13120;Metropolitana de Santiago;Ñuñoa;88.33915098;135.7544741;161.3394216;161.3394216;;;69.74358974;72.20512821;;;;
119;;13121;Metropolitana de Santiago;Pedro Aguirre Cerda;88.33915098;135.7544741;161.3394216;161.3394216;;;71.38461538;74.97435897;;;;
120;;13122;Metropolitana de Santiago;Peñalolén;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.20512821;;;;
121;;13123;Metropolitana de Santiago;Providencia;88.33915098;135.7544741;161.3394216;161.3394216;;;70.56410256;78.25641026;;;;
122;;13124;Metropolitana de Santiago;Pudahuel;88.33915098;135.7544741;161.3394216;161.3394216;;;71.79487179;72.30769231;;;;
123;;13125;Metropolitana de Santiago;Quilicura;88.33915098;135.7544741;161.3394216;161.3394216;;;71.8974359;72.20512821;;;;
124;;13126;Metropolitana de Santiago;Quinta Normal;88.33915098;135.7544741;161.3394216;161.3394216;;;68.92307692;74.97435897;;;;
125;;13127;Metropolitana de Santiago;Recoleta;88.33915098;135.7544741;161.3394216;161.3394216;;;68.71794872;72.1025641;;;;
126;;13128;Metropolitana de Santiago;Renca;88.33915098;135.7544741;161.3394216;161.3394216;;;70.87179487;72.20512821;;;;
127;;13129;Metropolitana de Santiago;San Joaquín;88.33915098;135.7544741;161.3394216;161.3394216;;;71.79487179;72.30769231;;;;
